domain,effective_query,link,link_type,no_results,num_results,num_results_for_query,num_reviews,page_number,query,rank,rating,requested_at,requested_by,scrape_method,search_engine_name,snippet,status,title,visible_link
www.b-in-china.com,,http://www.b-in-china.com/list-nr.asp?anclassid=107&nclassid=363&id=4273637,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,1,None,2019-06-24 11:05:12.777791,localhost,http,google,"一汽-大众汽车有限公司高压安全试验台项目. 发布时间：2019-6-3 项目编号： 截止时间： 所属行业：电子信息,建筑房产,文教用品,体育用品,交通运输,机械机电,水利水电 ...",successful,一汽-大众汽车有限公司高压安全试验台项目-国际招标-招标采购网,www.b-in-china.com › 国际招标
baike.baidu.com,,https://baike.baidu.com/item/%E4%B8%80%E6%B1%BD%E6%8A%80%E6%9C%AF%E4%B8%AD%E5%BF%83,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,2,None,2019-06-24 11:05:12.777791,localhost,http,google,一汽技术中心（长春汽车研究所）为中国第一汽车集团有限公司的全资子公司，是中国 ... 20091月检测中心模拟台车碰撞试验台正式投入使用，能够完成座椅、安全带、 ...,successful,一汽技术中心_百度百科,https://baike.baidu.com/item/一汽技术中心
zhuanlan.zhihu.com,,https://zhuanlan.zhihu.com/p/64894015,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,3,None,2019-06-24 11:05:12.777791,localhost,http,google,"May 6, 2019 - 之后自主研发电控，就筹建了专门单独测试电控的逆变器试验台。现在就三合一的测试了，我们新筹建了个两驱动的动力总成台架。现在电机电驱动 ...",successful,一汽齐嘉臣：电驱动系统试验评价技术- 知乎,https://zhuanlan.zhihu.com/p/64894015
m.ofweek.com,,https://m.ofweek.com/hydrogen/2019-04/ART-180824-8460-30323030.html,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,4,None,2019-06-24 11:05:12.777791,localhost,http,google,"Apr 26, 2019 - 日前，一汽解放商用车开发院氢动力开发实验室的燃料电池发动机测试台架正式投入运转，将对自主开发的45KW燃料电池发动机进行测试试验。",successful,一汽解放燃料电池发动机测试台架投运- OFweek氢能网移动版,https://m.ofweek.com/.../2019.../ART-180824-8460-30323030.htm...
www.mybeauty-hk.com,,http://www.mybeauty-hk.com/bidDetail/239051632.html,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,5,None,2019-06-24 11:05:12.777791,localhost,http,google,"Apr 28, 2019 - 长春一汽国际招标有限公司受招标人委托对下列产品及服务进行国际公开竞争性招标，于2019-04-28在中国国际招标网公告。本次招标采用传统 ...",successful,一汽-大众汽车有限公司高压安全试验台项目国际招标公告(2) - 九龙心水 ...,www.mybeauty-hk.com/bidDetail/239051632.html
www.chinabidding.com,,http://www.chinabidding.com/bidDetail/231616371-BidChange.html,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,6,None,2019-06-24 11:05:12.777791,localhost,http,google,一汽-大众汽车有限公司模组电池包试验台项目重新招标澄清或变更公告(1). 2018-07-06 中国国际招标网 招标项目编号：0736-184020180179 项目名称：一汽-大众 ...,successful,一汽-大众汽车有限公司模组电池包试验台项目重新招标澄清或变更公告(1),www.chinabidding.com/bidDetail/231616371-BidChange.html
www.china.cn,,https://www.china.cn/jixiexiangmuhez/4209233912.html,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,7,None,2019-06-24 11:05:12.777791,localhost,http,google,"欢迎前来中国供应商(www.china.cn)了解合肥雄强数控科技有限公司发布的一汽大众汽车开关高精度力曲线测试台价格,一汽大众汽车开关高精度力曲线测试台厂家 ...",successful,【一汽大众汽车开关高精度力曲线测试台】价格_厂家- 中国供应商,https://www.china.cn/jixiexiangmuhez/4209233912.html
www.xiandaiqx.com,,http://www.xiandaiqx.com/teach/details3/id/7,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,8,None,2019-06-24 11:05:12.777791,localhost,http,google,一汽大众奥迪A6雨刮器试验台. 发布时间：2017-09-14 来源：杭州现代汽修学校. 一汽大众奥迪A6雨刮器试验台. 上一条：高档轿车发动机系统. 下一条：奥迪A6动力试验 ...,successful,一汽大众奥迪A6雨刮器试验台—杭州现代技工学校,www.xiandaiqx.com › 校园环境 › 教学设备
news.emao.com,,http://news.emao.com/news/201601/18102.html,results,False,9,"Page 2 of about 1,480,000 results (0.23 seconds) ",None,2,一汽 试验台 ,9,None,2019-06-24 11:05:12.777791,localhost,http,google,"Jan 15, 2016 - 近日，一汽-大众台架试验中心正式落成，中心占地面积约12000平方米， ... 整车阳光模拟试验箱、环境条件下的道路模拟试验台、轴总成疲劳试验台、 ...",successful,一汽-大众建成国内首个可系统认可豪华车车身试验中心_说吧_一猫汽车网,news.emao.com/news/201601/18102.html
b'',,None,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,1,None,2019-06-24 11:41:57.722597,localhost,http,baidu,None,successful,None,"image.baidu.com  - 查看全部130,488张图片"
www.baidu.com,,http://www.baidu.com/link?url=wlzefY2W9zZLUigGZ40uZhLP2GVh-F9WZbcOUdEQZeu1oBxgC5Jwz6x9cHD6WPp2qzhLWByGNLf_FyRSuioD5Fa-1pZlCFHlRvGjf_lBOvR-gAwSoHOBUwt-Vvmpb7uvxNGRfTEF3UuLpCSddAjS4q,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,1,None,2019-06-24 11:41:57.722597,localhost,http,baidu,...中国测试精选文章 关键词:汽车制动试验台;检定;数字滤波;未确知有理数滤波 [gap=821]Key words: auto braking test machine; verification; data filtering;...,successful,【汽车制动试验台】,None
www.baidu.com,,http://www.baidu.com/link?url=Jy5XymAzR9__L6b9G5X513LWkLcOYpvuJixe9kXnxseMYnQ3xGssSpRFh_1VsbHbyic8l_aTUBWdrAZduXMfrTiQaXczYSNVHG9KnEavLyq,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,2,None,2019-06-24 11:41:57.722597,localhost,http,baidu,"【5分钟前更新】黄页88提供最新汽车试验台供应信息,汽车试验台批发信息,展示最详细的汽车试验台价格信息,在这里您可以免费查看和发布汽车试验台供应、出售和价格信息,...",successful,【汽车试验台】-2019汽车试验台价格|报价-汽车试验台批发..._黄页88,None
www.baidu.com,,http://www.baidu.com/link?url=XtoHukqJ1Kad_8MCX6E8VzDaaJzhByhX6u1yCjaRNJ0rp8kxDBvM_XceiYA3pnixJiSSfoRoTUKHS1hBOencBq,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,3,None,2019-06-24 11:41:57.722597,localhost,http,baidu,"受业主委托,中国采招网于2019年05月24日发布一汽-大众汽车有限公司高压安全试验台项目国际招标公告(1)0736-194020190202;项目简介:长春一汽国际招标有限公司受招标人...",successful,一汽-大众汽车有限公司高压安全试验台项目国际招标公告(1)0736-...,None
www.baidu.com,,http://www.baidu.com/link?url=wn2AHx8l-BTu90CTMyGv96EMMHrqQabrkEjq4G6_9EkZnBKClh7jFwJw7fWGOB4h-ayFmABu-SiGlf2mb0t2Na,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,4,None,2019-06-24 11:41:57.722597,localhost,http,baidu,"本公司主要供应试验台产品及配件,适用于所有车型,质量保证,欢迎来电咨询洽谈。 适用车型:车型不限  天津市科巨仪器有限公司  天津 地区不限 1元 价格可议 起定量...",successful,"试验台,汽车试验台供应商 - 全球汽配网",None
www.baidu.com,,http://www.baidu.com/link?url=ZYlcCn665CsJtU4LMIo3fF0s3X3_ZvpuKQaBgEpllAaZu3F47hFdBQ1JRVBoDqYSZOHmUCSBuAm-3BlXwtGgmq,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,5,None,2019-06-24 11:41:57.722597,localhost,http,baidu,"中国网库为您提供最新汽车制动试验台价格、汽车制动试验台报价信息,汽车制动试验台价格行情走势,包括了供应商主营产品,图片,销量等全方位信息,为您订购产品提供全...",successful,【汽车制动试验台价格】_汽车制动试验台批发/采购报价_..._中国网库,None
www.baidu.com,,http://www.baidu.com/link?url=2AOv8v3nS7D821shbMdQY3b4h6PMcNZ7lwchYoNpf_vLaeivOX7jmNFMfcjkJ2oRPcP9N2UtuOz9j7U8UUsuPq,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,6,None,2019-06-24 11:41:57.722597,localhost,http,baidu,"2019年6月1日 - 新能源汽车电机及控制器性能试验台架,主要适用于对新能源汽车永磁同步、直流无刷高速电机、电机控制器、电池包及电池管理系统(BMS)、整车VCU中控系统 、部件总成进行...",successful,新能源汽车试验台-洛阳合能电气有限公司,None
www.baidu.com,,http://www.baidu.com/link?url=Qo5Bi0kLYSVVuZpm4eCKC9xQVsirb4asYxrI2ToGuC4j6vxBeNIBbZ-1mSxmpA7taaMdtsR5ac8bxa0tr9T67q,results,False,10,"搜索工具百度为您找到相关结果约2,840,000个",None,1,一汽 试验台 ,7,None,2019-06-24 11:41:57.722597,localhost,http,baidu,2019年6月3日 - 一汽-大众汽车有限公司高压安全试验台项目国际招标公告(2)2019-06-03  长春一汽国际招标有限公司受招标人委托对下列产品及服务进行国际公开竞争性招标...,successful,一汽-大众汽车有限公司高压安全试验台项目国际招标公告(2),None
